NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
CAP-DEPENDENT TRANSLATION INITIATION%REACTOME DATABASE ID RELEASE 79%72737	CAP-DEPENDENT TRANSLATION INITIATION%REACTOME DATABASE ID RELEASE 79%72737	Details ...	115	-0.90591943	-2.3857358	0.0	0.0	0.0	823	tags=63%, list=6%, signal=66%	
EUKARYOTIC TRANSLATION INITIATION%REACTOME DATABASE ID RELEASE 79%72613	EUKARYOTIC TRANSLATION INITIATION%REACTOME DATABASE ID RELEASE 79%72613	Details ...	115	-0.90591943	-2.3708382	0.0	0.0	0.0	823	tags=63%, list=6%, signal=66%	
CYTOPLASMIC TRANSLATION%GOBP%GO:0002181	CYTOPLASMIC TRANSLATION%GOBP%GO:0002181	Details ...	120	-0.9004626	-2.346311	0.0	0.0	0.0	823	tags=60%, list=6%, signal=63%	
NONSENSE-MEDIATED DECAY (NMD)%REACTOME%R-HSA-927802.2	NONSENSE-MEDIATED DECAY (NMD)%REACTOME%R-HSA-927802.2	Details ...	109	-0.9041099	-2.3360484	0.0	0.0	0.0	651	tags=55%, list=5%, signal=57%	
GTP HYDROLYSIS AND JOINING OF THE 60S RIBOSOMAL SUBUNIT%REACTOME%R-HSA-72706.2	GTP HYDROLYSIS AND JOINING OF THE 60S RIBOSOMAL SUBUNIT%REACTOME%R-HSA-72706.2	Details ...	108	-0.908219	-2.3349695	0.0	0.0	0.0	970	tags=68%, list=7%, signal=72%	
HALLMARK_E2F_TARGETS%MSIGDB_C2%HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS%MSIGDB_C2%HALLMARK_E2F_TARGETS	Details ...	152	-0.86263216	-2.331709	0.0	0.0	0.0	1311	tags=72%, list=9%, signal=79%	
NONSENSE MEDIATED DECAY (NMD) ENHANCED BY THE EXON JUNCTION COMPLEX (EJC)%REACTOME%R-HSA-975957.1	NONSENSE MEDIATED DECAY (NMD) ENHANCED BY THE EXON JUNCTION COMPLEX (EJC)%REACTOME%R-HSA-975957.1	Details ...	109	-0.9041099	-2.3285415	0.0	0.0	0.0	651	tags=55%, list=5%, signal=57%	
L13A-MEDIATED TRANSLATIONAL SILENCING OF CERULOPLASMIN EXPRESSION%REACTOME%R-HSA-156827.3	L13A-MEDIATED TRANSLATIONAL SILENCING OF CERULOPLASMIN EXPRESSION%REACTOME%R-HSA-156827.3	Details ...	107	-0.908966	-2.3281295	0.0	0.0	0.0	970	tags=68%, list=7%, signal=73%	
SRP-DEPENDENT COTRANSLATIONAL PROTEIN TARGETING TO MEMBRANE%REACTOME%R-HSA-1799339.2	SRP-DEPENDENT COTRANSLATIONAL PROTEIN TARGETING TO MEMBRANE%REACTOME%R-HSA-1799339.2	Details ...	108	-0.8964928	-2.3262691	0.0	0.0	0.0	652	tags=55%, list=5%, signal=57%	
PEPTIDE CHAIN ELONGATION%REACTOME DATABASE ID RELEASE 79%156902	PEPTIDE CHAIN ELONGATION%REACTOME DATABASE ID RELEASE 79%156902	Details ...	85	-0.9256891	-2.3179011	0.0	0.0	0.0	651	tags=69%, list=5%, signal=72%	
