NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
EXOCYTOSIS%GOBP%GO:0006887	EXOCYTOSIS%GOBP%GO:0006887	Details ...	130	0.7220704	1.9496316	0.0	0.0023131487	0.002	2168	tags=33%, list=16%, signal=39%	
SENSORY PERCEPTION%REACTOME%R-HSA-9709957.3	SENSORY PERCEPTION%REACTOME%R-HSA-9709957.3	Details ...	118	0.72601426	1.9337586	0.0	0.0011565743	0.002	1426	tags=29%, list=10%, signal=32%	
EXTRACELLULAR STRUCTURE ORGANIZATION%GOBP%GO:0043062	EXTRACELLULAR STRUCTURE ORGANIZATION%GOBP%GO:0043062	Details ...	111	0.73260653	1.9265535	0.0	0.0011503223	0.003	1228	tags=23%, list=9%, signal=25%	
EXTRACELLULAR MATRIX ORGANIZATION%GOBP%GO:0030198	EXTRACELLULAR MATRIX ORGANIZATION%GOBP%GO:0030198	Details ...	110	0.73282987	1.9195294	0.0	8.627416E-4	0.003	1228	tags=24%, list=9%, signal=26%	
REGULATION OF EXOCYTOSIS%GOBP%GO:0017157	REGULATION OF EXOCYTOSIS%GOBP%GO:0017157	Details ...	121	0.7286935	1.918481	0.0	6.901933E-4	0.003	1733	tags=26%, list=12%, signal=29%	
EXTERNAL ENCAPSULATING STRUCTURE ORGANIZATION%GOBP%GO:0045229	EXTERNAL ENCAPSULATING STRUCTURE ORGANIZATION%GOBP%GO:0045229	Details ...	112	0.73017174	1.898211	0.0	7.6550007E-4	0.004	1228	tags=23%, list=9%, signal=25%	
TRANSPORT TO THE GOLGI AND SUBSEQUENT MODIFICATION%REACTOME%R-HSA-948021.2	TRANSPORT TO THE GOLGI AND SUBSEQUENT MODIFICATION%REACTOME%R-HSA-948021.2	Details ...	150	0.69212216	1.8915006	0.0	9.840603E-4	0.006	2133	tags=35%, list=15%, signal=41%	
PROTEIN LOCALIZATION TO CELL PERIPHERY%GOBP%GO:1990778	PROTEIN LOCALIZATION TO CELL PERIPHERY%GOBP%GO:1990778	Details ...	162	0.68362635	1.8885453	0.0	8.610528E-4	0.006	1497	tags=25%, list=11%, signal=28%	
PROTEIN LOCALIZATION TO PLASMA MEMBRANE%GOBP%GO:0072659	PROTEIN LOCALIZATION TO PLASMA MEMBRANE%GOBP%GO:0072659	Details ...	148	0.69891346	1.8874431	0.0	8.9269213E-4	0.007	1497	tags=27%, list=11%, signal=30%	
CELL-CELL COMMUNICATION%REACTOME DATABASE ID RELEASE 79%1500931	CELL-CELL COMMUNICATION%REACTOME DATABASE ID RELEASE 79%1500931	Details ...	83	0.7573296	1.8821051	0.0	0.0010363878	0.009	1334	tags=34%, list=10%, signal=37%	
